year,team,superbowl wins
2011,NY Giants,1
2012,Baltimore,1
2013,Seattle,1
2014,New England,1
2015,Denver,1
2016,New England,1
2017,Philadelphia,1
2018,New England,1
2019,Kansas City,1
2020,Tampa Bay,1
2021,Los Angeles,1
2022,Kansas City,1
