,2023,2024,2025,2026
Justin Herbert,3.73,8.04,14.51,13.35
Deshaun Watson,7.57,26.6,24.86,23.24
Lamar Jackson,9.91,13.47,16.96,23.28
Jalen Hurts,2.62,5.64,8.3,9.51
